score: 2858.3541666666665, reward: 0.02708333333333333, states: 2857, train_cnt: 0, mutation_cnt: 3, seq_num: 157
score: 3522.822916666667, reward: 5.036458333333335, states: 3271, train_cnt: 0, mutation_cnt: 2, seq_num: 0
score: 5165.0, reward: 0.0, states: 5165, train_cnt: 0, mutation_cnt: 2, seq_num: 66
score: 8085.0, reward: 3.699999999999998, states: 7900, train_cnt: 0, mutation_cnt: 3, seq_num: 157
score: 8862.75, reward: 2.6750000000000043, states: 8729, train_cnt: 0, mutation_cnt: 4, seq_num: 0
score: 1054.0, reward: 0.0, states: 1054, train_cnt: 0, mutation_cnt: 4, seq_num: 0
score: 16983.0, reward: 0.0, states: 16983, train_cnt: 0, mutation_cnt: 2, seq_num: 159
score: 4189.541666666667, reward: 0.6708333333333327, states: 4156, train_cnt: 0, mutation_cnt: 3, seq_num: 157
score: 7642.739583333333, reward: 4.094791666666667, states: 7438, train_cnt: 0, mutation_cnt: 2, seq_num: 157
score: 7125.791666666666, reward: 3.1958333333333235, states: 6966, train_cnt: 0, mutation_cnt: 1, seq_num: 0
score: 10196.858506944445, reward: 3.877170138888887, states: 10003, train_cnt: 0, mutation_cnt: 4, seq_num: 157
score: 1051.0, reward: 0.0, states: 1051, train_cnt: 0, mutation_cnt: 1, seq_num: 0
score: 8080.6875, reward: 5.093749999999994, states: 7826, train_cnt: 0, mutation_cnt: 3, seq_num: 157
score: 3229.5833333333335, reward: 1.9916666666666667, states: 3130, train_cnt: 0, mutation_cnt: 3, seq_num: 0
score: 4608.065972222222, reward: 4.24131944444444, states: 4396, train_cnt: 0, mutation_cnt: 1, seq_num: 108
score: 4396.010416666667, reward: 3.8802083333333335, states: 4202, train_cnt: 0, mutation_cnt: 3, seq_num: 0
score: 4758.277777777777, reward: 4.3055555555555545, states: 4543, train_cnt: 0, mutation_cnt: 2, seq_num: 0
score: 4443.139322916667, reward: 0.9227864583333334, states: 4397, train_cnt: 0, mutation_cnt: 5, seq_num: 149
score: 6423.89236111111, reward: 3.7378472222222165, states: 6237, train_cnt: 0, mutation_cnt: 3, seq_num: 158
score: 7578.248263888889, reward: 3.944965277777778, states: 7381, train_cnt: 0, mutation_cnt: 2, seq_num: 157
score: 6540.0, reward: 0.0, states: 6540, train_cnt: 0, mutation_cnt: 5, seq_num: 159
score: 5103.0, reward: 0.0, states: 5103, train_cnt: 0, mutation_cnt: 2, seq_num: 0
score: 4973.118055555556, reward: 1.2423611111111117, states: 4911, train_cnt: 0, mutation_cnt: 2, seq_num: 143
score: 10459.822916666666, reward: 3.7364583333333314, states: 10273, train_cnt: 0, mutation_cnt: 4, seq_num: 159
score: 3919.982638888889, reward: 5.1996527777777795, states: 3660, train_cnt: 0, mutation_cnt: 3, seq_num: 19
score: 5404.375, reward: 1.4874999999999994, states: 5330, train_cnt: 0, mutation_cnt: 2, seq_num: 0
score: 3408.041666666667, reward: 1.620833333333335, states: 3327, train_cnt: 0, mutation_cnt: 3, seq_num: 0
score: 3356.434027777778, reward: 3.508680555555556, states: 3181, train_cnt: 0, mutation_cnt: 3, seq_num: 0
score: 4047.0, reward: 0.0, states: 4047, train_cnt: 0, mutation_cnt: 3, seq_num: 0
score: 5851.666666666667, reward: 0.5333333333333337, states: 5825, train_cnt: 0, mutation_cnt: 3, seq_num: 0
score: 19993.270833333332, reward: 3.2854166666666584, states: 19829, train_cnt: 0, mutation_cnt: 4, seq_num: 136
score: 3333.0, reward: 0.0, states: 3333, train_cnt: 0, mutation_cnt: 4, seq_num: 102
score: 8342.583333333334, reward: 3.991666666666666, states: 8143, train_cnt: 0, mutation_cnt: 4, seq_num: 0
score: 2905.0, reward: 0.0, states: 2905, train_cnt: 0, mutation_cnt: 5, seq_num: 0
score: 3037.1970486111113, reward: 0.38394097222222195, states: 3018, train_cnt: 0, mutation_cnt: 3, seq_num: 158
score: 9149.295138888889, reward: 2.3059027777777765, states: 9034, train_cnt: 0, mutation_cnt: 2, seq_num: 157
score: 3656.367621527778, reward: 1.947352430555556, states: 3559, train_cnt: 0, mutation_cnt: 2, seq_num: 156
score: 9863.246527777777, reward: 4.164930555555553, states: 9655, train_cnt: 0, mutation_cnt: 4, seq_num: 157
score: 8862.75, reward: 2.6750000000000043, states: 8729, train_cnt: 0, mutation_cnt: 3, seq_num: 0
score: 11855.472222222223, reward: 3.9694444444444423, states: 11657, train_cnt: 0, mutation_cnt: 4, seq_num: 157
score: 3713.0, reward: 0.0, states: 3713, train_cnt: 0, mutation_cnt: 2, seq_num: 0
score: 4810.0, reward: 0.0, states: 4810, train_cnt: 0, mutation_cnt: 4, seq_num: 0
score: 6672.822916666667, reward: 1.1364583333333336, states: 6616, train_cnt: 0, mutation_cnt: 3, seq_num: 159
score: 5318.041666666667, reward: 0.5208333333333336, states: 5292, train_cnt: 0, mutation_cnt: 5, seq_num: 0
score: 3879.0, reward: 0.0, states: 3879, train_cnt: 0, mutation_cnt: 4, seq_num: 159
score: 8515.625, reward: 3.7124999999999977, states: 8330, train_cnt: 0, mutation_cnt: 3, seq_num: 51
score: 7920.410590277778, reward: 4.52821180555556, states: 7694, train_cnt: 0, mutation_cnt: 5, seq_num: 158
score: 3181.3333333333335, reward: 0.3666666666666667, states: 3163, train_cnt: 0, mutation_cnt: 4, seq_num: 157
score: 13249.75, reward: 0.475, states: 13226, train_cnt: 0, mutation_cnt: 5, seq_num: 159
score: 5033.854166666666, reward: 3.5770833333333294, states: 4855, train_cnt: 0, mutation_cnt: 3, seq_num: 159
score: 3898.1458333333335, reward: 0.5229166666666666, states: 3872, train_cnt: 0, mutation_cnt: 2, seq_num: 81
score: 7484.399305555556, reward: 3.7079861111111136, states: 7299, train_cnt: 0, mutation_cnt: 3, seq_num: 157
score: 2888.0, reward: 0.0, states: 2888, train_cnt: 0, mutation_cnt: 4, seq_num: 159
score: 4234.125, reward: 1.3625000000000003, states: 4166, train_cnt: 0, mutation_cnt: 5, seq_num: 0
score: 2655.9756944444443, reward: 0.27951388888888884, states: 2642, train_cnt: 0, mutation_cnt: 4, seq_num: 144
score: 6537.850694444444, reward: 1.2170138888888875, states: 6477, train_cnt: 0, mutation_cnt: 4, seq_num: 157
score: 9340.375, reward: 3.9874999999999994, states: 9141, train_cnt: 0, mutation_cnt: 4, seq_num: 0
score: 5353.333333333333, reward: 1.666666666666666, states: 5270, train_cnt: 0, mutation_cnt: 4, seq_num: 0
score: 4415.958333333333, reward: 3.979166666666662, states: 4217, train_cnt: 0, mutation_cnt: 2, seq_num: 0
score: 4602.1875, reward: 2.1437500000000016, states: 4495, train_cnt: 0, mutation_cnt: 5, seq_num: 103
score: 5120.0, reward: 0.0, states: 5120, train_cnt: 0, mutation_cnt: 4, seq_num: 159
score: 3561.0312500000005, reward: 3.140625000000006, states: 3404, train_cnt: 0, mutation_cnt: 4, seq_num: 0
score: 6676.041666666667, reward: 1.3208333333333335, states: 6610, train_cnt: 0, mutation_cnt: 2, seq_num: 0
score: 7739.0, reward: 3.6999999999999966, states: 7554, train_cnt: 0, mutation_cnt: 4, seq_num: 0
score: 5354.152777777778, reward: 2.743055555555558, states: 5217, train_cnt: 0, mutation_cnt: 4, seq_num: 159
score: 7589.690972222222, reward: 3.653819444444443, states: 7407, train_cnt: 0, mutation_cnt: 6, seq_num: 157
score: 5052.583333333333, reward: 0.09166666666666665, states: 5048, train_cnt: 0, mutation_cnt: 2, seq_num: 159
score: 7322.822916666667, reward: 3.836458333333333, states: 7131, train_cnt: 0, mutation_cnt: 2, seq_num: 157
score: 4136.25, reward: 0.22499999999999995, states: 4125, train_cnt: 0, mutation_cnt: 5, seq_num: 0
score: 4626.694444444444, reward: 4.513888888888885, states: 4401, train_cnt: 0, mutation_cnt: 2, seq_num: 0
score: 6369.0, reward: 0.0, states: 6369, train_cnt: 0, mutation_cnt: 2, seq_num: 157
score: 4385.15625, reward: 3.0031250000000065, states: 4235, train_cnt: 0, mutation_cnt: 2, seq_num: 36
score: 1845.0, reward: 0.0, states: 1845, train_cnt: 0, mutation_cnt: 2, seq_num: 0
score: 3595.0, reward: 0.0, states: 3595, train_cnt: 0, mutation_cnt: 3, seq_num: 0
score: 3763.0, reward: 0.0, states: 3763, train_cnt: 0, mutation_cnt: 4, seq_num: 0
score: 4626.357638888889, reward: 4.387152777777777, states: 4407, train_cnt: 0, mutation_cnt: 4, seq_num: 0
