score: 6240.192708333333, reward: 1.3838541666666666, states: 6171, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5849.915798611111, reward: 1.4183159722222223, states: 5779, train_cnt: 0, mutation_cnt: 0, seq_num: 157
score: 6133.37890625, reward: 1.367578125, states: 6065, train_cnt: 0, mutation_cnt: 0, seq_num: 156
score: 5756.786024305556, reward: 1.435720486111111, states: 5685, train_cnt: 0, mutation_cnt: 0, seq_num: 158
score: 6010.221354166667, reward: 1.4044270833333334, states: 5940, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5692.335069444444, reward: 1.4467013888888896, states: 5620, train_cnt: 0, mutation_cnt: 0, seq_num: 157
score: 5683.928385416667, reward: 1.3985677083333325, states: 5614, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 6191.795572916667, reward: 1.475911458333333, states: 6118, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5594.763888888889, reward: 1.4152777777777779, states: 5524, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5646.82421875, reward: 1.396484375, states: 5577, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5664.877170138889, reward: 1.4375434027777778, states: 5593, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5682.026909722223, reward: 1.4405381944444442, states: 5610, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5899.045572916667, reward: 1.5009114583333336, states: 5824, train_cnt: 0, mutation_cnt: 0, seq_num: 158
score: 5358.297743055556, reward: 1.3259548611111116, states: 5292, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5634.483506944444, reward: 1.389670138888889, states: 5565, train_cnt: 0, mutation_cnt: 0, seq_num: 158
score: 5932.773003472223, reward: 1.4354600694444446, states: 5861, train_cnt: 0, mutation_cnt: 0, seq_num: 157
score: 6085.828559027777, reward: 1.596571180555555, states: 6006, train_cnt: 0, mutation_cnt: 0, seq_num: 157
score: 5311.299913194444, reward: 1.4259982638888895, states: 5240, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 6110.314670138889, reward: 1.4062934027777783, states: 6040, train_cnt: 0, mutation_cnt: 0, seq_num: 157
score: 5529.525173611111, reward: 1.4105034722222223, states: 5459, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5854.8125, reward: 1.5562499999999992, states: 5777, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 6236.700520833333, reward: 1.3940104166666671, states: 6167, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 6844.078993055556, reward: 1.541579861111111, states: 6767, train_cnt: 0, mutation_cnt: 0, seq_num: 157
score: 6085.490885416667, reward: 1.4298177083333339, states: 6014, train_cnt: 0, mutation_cnt: 0, seq_num: 158
score: 5500.933159722223, reward: 1.4186631944444439, states: 5430, train_cnt: 0, mutation_cnt: 0, seq_num: 158
score: 5054.3984375, reward: 1.4679687500000007, states: 4981, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5860.786892361111, reward: 1.4757378472222218, states: 5787, train_cnt: 0, mutation_cnt: 0, seq_num: 158
score: 5143.04296875, reward: 1.4808593750000003, states: 5069, train_cnt: 0, mutation_cnt: 0, seq_num: 158
score: 6295.917534722223, reward: 1.3983506944444446, states: 6226, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5481.440104166667, reward: 1.388802083333333, states: 5412, train_cnt: 0, mutation_cnt: 0, seq_num: 156
score: 5696.754774305556, reward: 1.3950954861111116, states: 5627, train_cnt: 0, mutation_cnt: 0, seq_num: 158
score: 5834.623263888889, reward: 1.3324652777777775, states: 5768, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5630.341579861111, reward: 1.3468315972222213, states: 5563, train_cnt: 0, mutation_cnt: 0, seq_num: 158
score: 6689.711371527777, reward: 1.4942274305555547, states: 6615, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5843.604166666667, reward: 1.4520833333333336, states: 5771, train_cnt: 0, mutation_cnt: 0, seq_num: 157
score: 5898.899305555556, reward: 1.3579861111111116, states: 5831, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5855.696614583333, reward: 1.4139322916666668, states: 5785, train_cnt: 0, mutation_cnt: 0, seq_num: 157
score: 5439.425347222223, reward: 1.408506944444444, states: 5369, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5274.985677083333, reward: 1.539713541666667, states: 5198, train_cnt: 0, mutation_cnt: 0, seq_num: 154
score: 5813.573350694444, reward: 1.4314670138888888, states: 5742, train_cnt: 0, mutation_cnt: 0, seq_num: 158
score: 5674.580295138889, reward: 1.3516059027777785, states: 5607, train_cnt: 0, mutation_cnt: 0, seq_num: 158
score: 5973.338975694444, reward: 1.4267795138888895, states: 5902, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 6351.189236111111, reward: 1.5237847222222214, states: 6275, train_cnt: 0, mutation_cnt: 0, seq_num: 158
score: 6105.884548611111, reward: 1.4776909722222222, states: 6032, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 6281.25390625, reward: 1.4050781249999993, states: 6211, train_cnt: 0, mutation_cnt: 0, seq_num: 158
score: 6245.607204861111, reward: 1.4921440972222224, states: 6171, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 6895.733072916667, reward: 1.4946614583333333, states: 6821, train_cnt: 0, mutation_cnt: 0, seq_num: 158
score: 6159.706597222223, reward: 1.3741319444444442, states: 6091, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5746.314236111111, reward: 1.486284722222223, states: 5672, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5432.098090277777, reward: 1.4219618055555554, states: 5361, train_cnt: 0, mutation_cnt: 0, seq_num: 158
score: 5570.357638888889, reward: 1.3871527777777775, states: 5501, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5633.734375, reward: 1.4546875000000004, states: 5561, train_cnt: 0, mutation_cnt: 0, seq_num: 158
score: 6334.148003472223, reward: 1.5229600694444447, states: 6258, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5132.587673611111, reward: 1.3917534722222218, states: 5063, train_cnt: 0, mutation_cnt: 0, seq_num: 156
score: 5506.228298611111, reward: 1.4245659722222221, states: 5435, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5438.150607638889, reward: 1.443012152777777, states: 5366, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 6165.901041666667, reward: 1.4380208333333335, states: 6094, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 6309.718315972223, reward: 1.414366319444444, states: 6239, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 6043.475260416667, reward: 1.4095052083333337, states: 5973, train_cnt: 0, mutation_cnt: 0, seq_num: 157
score: 5705.744357638889, reward: 1.4148871527777778, states: 5635, train_cnt: 0, mutation_cnt: 0, seq_num: 158
score: 5507.823784722223, reward: 1.4764756944444448, states: 5434, train_cnt: 0, mutation_cnt: 0, seq_num: 158
score: 5820.962673611111, reward: 1.4792534722222224, states: 5747, train_cnt: 0, mutation_cnt: 0, seq_num: 158
score: 5814.513888888889, reward: 1.4902777777777776, states: 5740, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5695.225694444444, reward: 1.4045138888888888, states: 5625, train_cnt: 0, mutation_cnt: 0, seq_num: 157
score: 6222.288194444444, reward: 1.3857638888888895, states: 6153, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5808.924913194444, reward: 1.4384982638888884, states: 5737, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5927.456163194444, reward: 1.4291232638888896, states: 5856, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5873.807291666667, reward: 1.416145833333333, states: 5803, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5931.967447916667, reward: 1.3993489583333338, states: 5862, train_cnt: 0, mutation_cnt: 0, seq_num: 158
score: 5632.312065972223, reward: 1.4862413194444444, states: 5558, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 6300.696180555556, reward: 1.3939236111111115, states: 6231, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 6209.523003472223, reward: 1.510460069444445, states: 6134, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 6129.518663194444, reward: 1.4103732638888888, states: 6059, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5852.419704861111, reward: 1.448394097222223, states: 5780, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5711.605034722223, reward: 1.3921006944444447, states: 5642, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 6059.354166666667, reward: 1.4270833333333333, states: 5988, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5869.474392361111, reward: 1.4694878472222221, states: 5796, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 6175.013888888889, reward: 1.4402777777777778, states: 6103, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5644.674045138889, reward: 1.3734809027777783, states: 5576, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5648.700954861111, reward: 1.414019097222223, states: 5578, train_cnt: 0, mutation_cnt: 0, seq_num: 157
score: 5647.130208333333, reward: 1.4026041666666667, states: 5577, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5820.992621527777, reward: 1.4598524305555558, states: 5748, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5496.124131944444, reward: 1.422482638888889, states: 5425, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5833.056857638889, reward: 1.4211371527777772, states: 5762, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5948.453559027777, reward: 1.4090711805555556, states: 5878, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5710.285590277777, reward: 1.4657118055555558, states: 5637, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5858.595920138889, reward: 1.4719184027777776, states: 5785, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 6388.920572916667, reward: 1.5384114583333341, states: 6312, train_cnt: 0, mutation_cnt: 0, seq_num: 156
score: 5853.802517361111, reward: 1.4960503472222217, states: 5779, train_cnt: 0, mutation_cnt: 0, seq_num: 158
score: 6330.802083333333, reward: 1.3760416666666662, states: 6262, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 6085.069878472223, reward: 1.4213975694444443, states: 6014, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5996.233506944444, reward: 1.2646701388888888, states: 5933, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 6169.782118055556, reward: 1.5556423611111116, states: 6092, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 6314.351128472223, reward: 1.3870225694444447, states: 6245, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 6042.087239583333, reward: 1.421744791666667, states: 5971, train_cnt: 0, mutation_cnt: 0, seq_num: 158
score: 4877.521701388889, reward: 1.4504340277777776, states: 4805, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5733.759114583333, reward: 1.3951822916666667, states: 5664, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5231.567708333333, reward: 1.4713541666666659, states: 5158, train_cnt: 0, mutation_cnt: 0, seq_num: 158
score: 5950.51953125, reward: 1.3503906249999997, states: 5883, train_cnt: 0, mutation_cnt: 0, seq_num: 157
score: 5316.756510416667, reward: 1.475130208333333, states: 5243, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5552.111979166667, reward: 1.3622395833333334, states: 5484, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5779.831163194444, reward: 1.4166232638888885, states: 5709, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 6079.910590277777, reward: 1.478211805555556, states: 6006, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5633.233940972223, reward: 1.3846788194444442, states: 5564, train_cnt: 0, mutation_cnt: 0, seq_num: 158
score: 5640.32421875, reward: 1.4464843749999996, states: 5568, train_cnt: 0, mutation_cnt: 0, seq_num: 158
score: 5793.023871527777, reward: 1.4004774305555554, states: 5723, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5783.199652777777, reward: 1.4039930555555558, states: 5713, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 6035.919704861111, reward: 1.4983940972222223, states: 5961, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 6548.734375, reward: 1.4546875000000004, states: 6476, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5831.150173611111, reward: 1.4230034722222213, states: 5760, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5246.161892361111, reward: 1.3632378472222224, states: 5178, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 6394.35546875, reward: 1.2871093750000002, states: 6330, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 6107.854600694444, reward: 1.3970920138888892, states: 6038, train_cnt: 0, mutation_cnt: 0, seq_num: 157
score: 5911.528645833333, reward: 1.4705729166666668, states: 5838, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5732.334201388889, reward: 1.4066840277777775, states: 5662, train_cnt: 0, mutation_cnt: 0, seq_num: 158
score: 5736.274305555556, reward: 1.5454861111111104, states: 5659, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5488.848090277777, reward: 1.3969618055555555, states: 5419, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 6454.016493055556, reward: 1.4603298611111106, states: 6381, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 6025.579427083333, reward: 1.411588541666667, states: 5955, train_cnt: 0, mutation_cnt: 0, seq_num: 158
score: 5776.097222222223, reward: 1.4819444444444447, states: 5702, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5678.026909722223, reward: 1.4405381944444433, states: 5606, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 6232.981336805556, reward: 1.539626736111111, states: 6156, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5802.796440972223, reward: 1.4159288194444435, states: 5732, train_cnt: 0, mutation_cnt: 0, seq_num: 158
score: 6731.819444444444, reward: 1.4763888888888885, states: 6658, train_cnt: 0, mutation_cnt: 0, seq_num: 158
score: 5980.960503472223, reward: 1.5792100694444442, states: 5902, train_cnt: 0, mutation_cnt: 0, seq_num: 156
score: 5979.087673611111, reward: 1.341753472222222, states: 5912, train_cnt: 0, mutation_cnt: 0, seq_num: 158
score: 5908.69921875, reward: 1.5339843749999993, states: 5832, train_cnt: 0, mutation_cnt: 0, seq_num: 158
score: 5814.190538194444, reward: 1.3838107638888886, states: 5745, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5857.138454861111, reward: 1.382769097222222, states: 5788, train_cnt: 0, mutation_cnt: 0, seq_num: 156
score: 5943.417534722223, reward: 1.4483506944444442, states: 5871, train_cnt: 0, mutation_cnt: 0, seq_num: 158
score: 5778.381510416667, reward: 1.3876302083333334, states: 5709, train_cnt: 0, mutation_cnt: 0, seq_num: 159
