score: 2602.928240740741, reward: 17.658564814814813, states: 1720, train_cnt: 4, mutation_cnt: 0
score: 2428.7314814814818, reward: 19.75462962962963, states: 1441, train_cnt: 4, mutation_cnt: 0
score: 2354.3449074074074, reward: 17.36689814814815, states: 1486, train_cnt: 4, mutation_cnt: 1
score: 2369.4791666666665, reward: 18.489583333333332, states: 1445, train_cnt: 4, mutation_cnt: 0
score: 2408.939814814815, reward: 19.358796296296298, states: 1441, train_cnt: 5, mutation_cnt: 1
score: 2450.7314814814818, reward: 19.75462962962963, states: 1463, train_cnt: 5, mutation_cnt: 0
score: 2435.4421296296296, reward: 19.74884259259259, states: 1448, train_cnt: 5, mutation_cnt: 0
score: 2440.0, reward: 20.0, states: 1440, train_cnt: 5, mutation_cnt: 1
score: 2578.0, reward: 20.0, states: 1578, train_cnt: 5, mutation_cnt: 0
score: 2415.696759259259, reward: 19.153935185185187, states: 1458, train_cnt: 5, mutation_cnt: 1
score: 2391.1435185185182, reward: 19.18287037037037, states: 1432, train_cnt: 5, mutation_cnt: 0
score: 2545.710648148148, reward: 17.494212962962962, states: 1671, train_cnt: 5, mutation_cnt: 0
score: 2496.4421296296296, reward: 19.74884259259259, states: 1509, train_cnt: 5, mutation_cnt: 1
score: 2510.615740740741, reward: 19.252314814814813, states: 1548, train_cnt: 5, mutation_cnt: 0
score: 2446.7314814814818, reward: 19.75462962962963, states: 1459, train_cnt: 6, mutation_cnt: 1
score: 2474.0, reward: 20.0, states: 1474, train_cnt: 6, mutation_cnt: 0
score: 2491.0, reward: 20.0, states: 1491, train_cnt: 6, mutation_cnt: 1
score: 2433.0, reward: 20.0, states: 1433, train_cnt: 6, mutation_cnt: 0
score: 2434.0, reward: 20.0, states: 1434, train_cnt: 6, mutation_cnt: 1
score: 2574.0, reward: 20.0, states: 1574, train_cnt: 6, mutation_cnt: 0
score: 2455.462962962963, reward: 19.50925925925926, states: 1480, train_cnt: 6, mutation_cnt: 1
score: 2373.3009259259256, reward: 19.206018518518515, states: 1413, train_cnt: 6, mutation_cnt: 0
score: 2375.0949074074074, reward: 17.74189814814815, states: 1488, train_cnt: 6, mutation_cnt: 0
score: 2500.0, reward: 20.0, states: 1500, train_cnt: 6, mutation_cnt: 1
score: 2464.0, reward: 20.0, states: 1464, train_cnt: 6, mutation_cnt: 0
score: 2425.7314814814818, reward: 19.75462962962963, states: 1438, train_cnt: 7, mutation_cnt: 1
score: 2469.0, reward: 20.0, states: 1469, train_cnt: 7, mutation_cnt: 1
score: 2440.0, reward: 20.0, states: 1440, train_cnt: 7, mutation_cnt: 0
score: 2457.3171296296296, reward: 18.68634259259259, states: 1523, train_cnt: 7, mutation_cnt: 1
score: 2545.4421296296296, reward: 19.74884259259259, states: 1558, train_cnt: 7, mutation_cnt: 0
score: 2498.0, reward: 20.0, states: 1498, train_cnt: 7, mutation_cnt: 1
score: 2404.7060185185182, reward: 19.71412037037037, states: 1419, train_cnt: 7, mutation_cnt: 0
score: 2405.134259259259, reward: 18.622685185185187, states: 1474, train_cnt: 7, mutation_cnt: 0
score: 2555.509259259259, reward: 19.310185185185187, states: 1590, train_cnt: 7, mutation_cnt: 1
score: 2800.2916666666665, reward: 19.145833333333332, states: 1843, train_cnt: 7, mutation_cnt: 0
score: 1310.6921296296296, reward: 4.373842592592591, states: 1092, train_cnt: 7, mutation_cnt: 1
score: 2475.777777777778, reward: 19.555555555555554, states: 1498, train_cnt: 8, mutation_cnt: 1
score: 2454.708333333333, reward: 18.354166666666664, states: 1537, train_cnt: 8, mutation_cnt: 2
score: 2476.0, reward: 20.0, states: 1476, train_cnt: 8, mutation_cnt: 1
score: 2440.0, reward: 20.0, states: 1440, train_cnt: 8, mutation_cnt: 0
score: 2334.6944444444443, reward: 17.51388888888889, states: 1459, train_cnt: 8, mutation_cnt: 1
score: 2458.0, reward: 20.0, states: 1458, train_cnt: 8, mutation_cnt: 1
score: 2568.0, reward: 20.0, states: 1568, train_cnt: 8, mutation_cnt: 0
score: 2509.1944444444443, reward: 19.26388888888889, states: 1546, train_cnt: 8, mutation_cnt: 1
score: 2365.134259259259, reward: 18.622685185185187, states: 1434, train_cnt: 8, mutation_cnt: 0
score: 2429.5555555555557, reward: 18.61111111111111, states: 1499, train_cnt: 8, mutation_cnt: 0
score: 2490.7314814814818, reward: 19.75462962962963, states: 1503, train_cnt: 8, mutation_cnt: 1
score: 2450.5324074074074, reward: 16.71064814814815, states: 1615, train_cnt: 8, mutation_cnt: 1
score: 2441.8587962962965, reward: 19.457175925925927, states: 1469, train_cnt: 9, mutation_cnt: 2
score: 2468.0, reward: 20.0, states: 1468, train_cnt: 9, mutation_cnt: 1
score: 2426.0, reward: 20.0, states: 1426, train_cnt: 9, mutation_cnt: 1
score: 2466.0, reward: 20.0, states: 1466, train_cnt: 9, mutation_cnt: 1
score: 2567.0, reward: 20.0, states: 1567, train_cnt: 9, mutation_cnt: 0
score: 2449.0, reward: 20.0, states: 1449, train_cnt: 9, mutation_cnt: 1
score: 2382.011574074074, reward: 19.200231481481477, states: 1422, train_cnt: 9, mutation_cnt: 0
score: 2273.1875, reward: 16.843750000000004, states: 1431, train_cnt: 9, mutation_cnt: 1
score: 2573.7199074074074, reward: 18.05439814814815, states: 1671, train_cnt: 9, mutation_cnt: 0
score: 2490.574074074074, reward: 19.73148148148148, states: 1504, train_cnt: 9, mutation_cnt: 1
score: 2576.402777777778, reward: 18.868055555555554, states: 1633, train_cnt: 9, mutation_cnt: 1
score: 2425.4328703703704, reward: 19.18865740740741, states: 1466, train_cnt: 10, mutation_cnt: 2
score: 2472.0, reward: 20.0, states: 1472, train_cnt: 10, mutation_cnt: 1
score: 2455.0, reward: 20.0, states: 1455, train_cnt: 10, mutation_cnt: 1
score: 2447.0, reward: 20.0, states: 1447, train_cnt: 10, mutation_cnt: 1
score: 2586.0, reward: 20.0, states: 1586, train_cnt: 10, mutation_cnt: 0
score: 2408.7314814814818, reward: 19.75462962962963, states: 1421, train_cnt: 10, mutation_cnt: 1
score: 2444.4421296296296, reward: 19.74884259259259, states: 1457, train_cnt: 10, mutation_cnt: 1
score: 2435.696759259259, reward: 19.153935185185183, states: 1478, train_cnt: 10, mutation_cnt: 0
score: 2526.884259259259, reward: 19.497685185185187, states: 1552, train_cnt: 10, mutation_cnt: 1
score: 2547.7060185185182, reward: 19.71412037037037, states: 1562, train_cnt: 10, mutation_cnt: 1
score: 1085.0, reward: 0.0, states: 1085, train_cnt: 0, mutation_cnt: 0
