score: 3476.519914215686, reward: 6.5503982843137285, states: 3149, train_cnt: 0, mutation_cnt: 0, seq_num: 46
score: 3575.0672487745096, reward: 2.241344975490195, states: 3463, train_cnt: 0, mutation_cnt: 0, seq_num: 47
score: 2063.3788296568628, reward: 2.1875765931372553, states: 1954, train_cnt: 0, mutation_cnt: 0, seq_num: 45
score: 7053.0, reward: 0.0, states: 7053, train_cnt: 0, mutation_cnt: 0, seq_num: 47
score: 6821.0, reward: 0.0, states: 6821, train_cnt: 0, mutation_cnt: 0, seq_num: 47
score: 2691.8241421568628, reward: 6.816482843137256, states: 2351, train_cnt: 0, mutation_cnt: 0, seq_num: 46
score: 3853.4402573529414, reward: 5.848805147058825, states: 3561, train_cnt: 0, mutation_cnt: 0, seq_num: 47
score: 3009.200980392157, reward: 2.424019607843135, states: 2888, train_cnt: 0, mutation_cnt: 0, seq_num: 46
score: 5829.0, reward: 0.0, states: 5829, train_cnt: 0, mutation_cnt: 0, seq_num: 47
score: 6815.0, reward: 0.0, states: 6815, train_cnt: 0, mutation_cnt: 0, seq_num: 46
score: 2389.189031862745, reward: 3.943780637254902, states: 2192, train_cnt: 0, mutation_cnt: 1, seq_num: 42
score: 2147.694240196078, reward: 0.6338848039215687, states: 2116, train_cnt: 0, mutation_cnt: 1, seq_num: 46
score: 3540.1436887254904, reward: 3.082873774509803, states: 3386, train_cnt: 0, mutation_cnt: 1, seq_num: 47
score: 1548.0, reward: 0.0, states: 1548, train_cnt: 0, mutation_cnt: 1, seq_num: 47
score: 1316.0, reward: 0.0, states: 1316, train_cnt: 0, mutation_cnt: 1, seq_num: 47
score: 6974.126225490196, reward: 0.3425245098039211, states: 6957, train_cnt: 0, mutation_cnt: 1, seq_num: 47
score: 84.0, reward: 0.0, states: 84, train_cnt: 0, mutation_cnt: 1, seq_num: 0
score: 7047.0, reward: 0.0, states: 7047, train_cnt: 0, mutation_cnt: 1, seq_num: 47
score: 4428.6407781862745, reward: 2.7928155637254872, states: 4289, train_cnt: 0, mutation_cnt: 1, seq_num: 47
score: 7049.0, reward: 0.0, states: 7049, train_cnt: 0, mutation_cnt: 1, seq_num: 47
score: 3058.9788602941176, reward: 7.9195772058823515, states: 2663, train_cnt: 1, mutation_cnt: 1, seq_num: 47
score: 3274.7487745098038, reward: 9.094975490196074, states: 2820, train_cnt: 1, mutation_cnt: 0, seq_num: 47
score: 2921.2778799019607, reward: 8.24555759803921, states: 2509, train_cnt: 1, mutation_cnt: 0, seq_num: 47
score: 3088.6443014705883, reward: 8.972886029411766, states: 2640, train_cnt: 2, mutation_cnt: 1, seq_num: 47
score: 2794.294424019608, reward: 8.525888480392156, states: 2368, train_cnt: 1, mutation_cnt: 1, seq_num: 47
score: 3337.2466299019607, reward: 8.60493259803921, states: 2907, train_cnt: 1, mutation_cnt: 1, seq_num: 47
score: 3390.586243872549, reward: 8.831724877450975, states: 2949, train_cnt: 1, mutation_cnt: 1, seq_num: 47
score: 3060.372089460784, reward: 8.647441789215685, states: 2628, train_cnt: 2, mutation_cnt: 0, seq_num: 47
