score: 3121.6944444444443, reward: 2.31388888888889, states: 3006, train_cnt: 0, mutation_cnt: 2, seq_num: 158
score: 4147.0, reward: 0.0, states: 4147, train_cnt: 0, mutation_cnt: 2, seq_num: 0
score: 1052.0, reward: 0.0, states: 1052, train_cnt: 0, mutation_cnt: 2, seq_num: 0
score: 2955.2083333333335, reward: 0.0041666666666666675, states: 2955, train_cnt: 0, mutation_cnt: 3, seq_num: 157
score: 6971.760416666667, reward: 4.555208333333331, states: 6744, train_cnt: 0, mutation_cnt: 3, seq_num: 159
score: 7532.5, reward: 2.0499999999999994, states: 7430, train_cnt: 0, mutation_cnt: 2, seq_num: 157
score: 3843.2569444444443, reward: 5.145138888888888, states: 3586, train_cnt: 0, mutation_cnt: 5, seq_num: 95
score: 4431.225694444445, reward: 2.804513888888896, states: 4291, train_cnt: 0, mutation_cnt: 3, seq_num: 0
score: 2905.0, reward: 0.0, states: 2905, train_cnt: 0, mutation_cnt: 5, seq_num: 0
score: 8926.989583333334, reward: 5.019791666666664, states: 8676, train_cnt: 0, mutation_cnt: 5, seq_num: 159
score: 10753.208333333334, reward: 4.804166666666661, states: 10513, train_cnt: 0, mutation_cnt: 2, seq_num: 0
score: 4670.0, reward: 0.0, states: 4670, train_cnt: 0, mutation_cnt: 5, seq_num: 151
score: 3783.1701388888887, reward: 5.043402777777779, states: 3531, train_cnt: 0, mutation_cnt: 5, seq_num: 0
score: 9030.770833333334, reward: 3.5354166666666615, states: 8854, train_cnt: 0, mutation_cnt: 5, seq_num: 157
score: 2905.0, reward: 0.0, states: 2905, train_cnt: 0, mutation_cnt: 4, seq_num: 0
score: 4405.534722222222, reward: 3.850694444444442, states: 4213, train_cnt: 0, mutation_cnt: 2, seq_num: 32
score: 4533.541666666667, reward: 5.270833333333333, states: 4270, train_cnt: 0, mutation_cnt: 2, seq_num: 155
score: 5710.618055555556, reward: 5.592361111111114, states: 5431, train_cnt: 0, mutation_cnt: 5, seq_num: 150
score: 7228.079861111111, reward: 3.681597222222222, states: 7044, train_cnt: 0, mutation_cnt: 6, seq_num: 159
score: 7342.875, reward: 4.3375, states: 7126, train_cnt: 0, mutation_cnt: 4, seq_num: 157
score: 4254.128472222223, reward: 2.8225694444444462, states: 4113, train_cnt: 0, mutation_cnt: 6, seq_num: 25
score: 10843.250868055555, reward: 3.96501736111111, states: 10645, train_cnt: 0, mutation_cnt: 2, seq_num: 159
score: 6363.605902777777, reward: 0.3321180555555551, states: 6347, train_cnt: 0, mutation_cnt: 3, seq_num: 158
