score: 2056.420428240741, reward: 3.2484085648148167, states: 1894, train_cnt: 1, mutation_cnt: 2, seq_num: 45
score: 1616.5185185185187, reward: 7.870370370370374, states: 1223, train_cnt: 1, mutation_cnt: 2, seq_num: 40
score: 889.0, reward: 0.0, states: 889, train_cnt: 4, mutation_cnt: 3, seq_num: 0
score: 2480.9212962962965, reward: 18.738425925925927, states: 1544, train_cnt: 2, mutation_cnt: 1, seq_num: 37
score: 2407.0, reward: 20.0, states: 1407, train_cnt: 2, mutation_cnt: 1, seq_num: 35
score: 2195.902777777778, reward: 16.618055555555557, states: 1365, train_cnt: 2, mutation_cnt: 2, seq_num: 3
score: 2450.4166666666665, reward: 19.708333333333332, states: 1465, train_cnt: 3, mutation_cnt: 2, seq_num: 0
score: 2479.4629629629626, reward: 19.509259259259256, states: 1504, train_cnt: 3, mutation_cnt: 1, seq_num: 29
score: 2486.1296296296296, reward: 15.34259259259259, states: 1719, train_cnt: 2, mutation_cnt: 3, seq_num: 34
score: 2384.722222222222, reward: 19.194444444444443, states: 1425, train_cnt: 3, mutation_cnt: 1, seq_num: 41
score: 2386.7314814814818, reward: 19.75462962962963, states: 1399, train_cnt: 5, mutation_cnt: 2, seq_num: 31
score: 2322.988425925926, reward: 17.29976851851852, states: 1458, train_cnt: 5, mutation_cnt: 3, seq_num: 40
score: 2457.164351851852, reward: 18.943287037037038, states: 1510, train_cnt: 2, mutation_cnt: 1, seq_num: 21
score: 1505.351851851852, reward: 4.287037037037039, states: 1291, train_cnt: 3, mutation_cnt: 2, seq_num: 0
score: 889.0, reward: 0.0, states: 889, train_cnt: 1, mutation_cnt: 2, seq_num: 0
score: 755.0, reward: 0.0, states: 755, train_cnt: 2, mutation_cnt: 2, seq_num: 9
score: 1267.546296296296, reward: 5.050925925925923, states: 1015, train_cnt: 1, mutation_cnt: 3, seq_num: 0
score: 2388.9050925925926, reward: 19.25810185185185, states: 1426, train_cnt: 1, mutation_cnt: 2, seq_num: 33
